,intPrice,volume
0,15177,530
1,15177,530
2,15177,530
3,15178,2354
4,15178,2383
5,15178,2391
6,15178,2406
7,15176,2412
8,15179,2435
9,15176,2441
10,15176,2705
11,15176,2707
12,15176,2720
13,15176,2730
14,15176,2772
15,15176,2772
16,15176,2781
17,15176,2788
18,15176,2790
19,15176,2790
20,15175,2793
21,15175,2793
22,15175,2815
23,15176,2828
24,15175,2864
25,15175,2864
26,15174,2867
27,15180,2870
28,15180,2870
29,15180,2870
30,15180,2870
31,15175,2883
32,15175,2883
33,15175,2883
34,15175,2883
35,15175,2883
36,15175,2883
37,15175,2883
38,15174,2987
39,15174,2987
40,15174,2987
41,15174,2987
42,15173,2988
43,15173,2988
44,15174,2991
45,15174,2991
46,15174,2991
47,15174,2991
48,15174,2991
49,15174,2991
50,15174,2994
51,15174,2995
52,15174,3022
53,15174,3022
54,15174,3022
55,15174,3022
56,15174,3022
57,15174,3022
58,15174,3022
59,15174,3037
60,15174,3046
61,15174,3046
62,15174,3046
63,15173,3049
64,15173,3049
65,15173,3049
66,15173,3049
67,15173,3049
68,15173,3049
69,15173,3049
70,15172,3058
71,15172,3058
72,15172,3058
73,15172,3058
74,15174,3066
75,15174,3066
76,15174,3066
77,15174,3066
78,15174,3067
79,15174,3067
80,15174,3067
81,15174,3067
82,15174,3067
83,15174,3067
84,15175,3072
85,15175,3072
86,15175,3091
87,15172,3095
88,15172,3095
89,15172,3095
90,15172,3097
91,15172,3097
92,15172,3097
93,15172,3097
94,15172,3097
95,15172,3097
96,15172,3097
97,15172,3102
98,15172,3103
99,15172,3103
100,15173,3105
101,15173,3105
102,15173,3105
103,15173,3105
104,15173,3105
105,15173,3105
106,15172,3106
107,15172,3106
108,15172,3106
109,15172,3106
110,15172,3106
111,15172,3107
112,15172,3107
113,15172,3107
114,15172,3107
115,15176,3211
116,15172,3218
117,15172,3218
118,15172,3218
119,15172,3218
120,15172,3218
121,15172,3218
122,15172,3218
123,15172,3218
124,15172,3218
125,15174,3222
126,15174,3222
127,15174,3222
128,15174,3222
129,15174,3222
130,15174,3225
131,15171,3230
132,15171,3230
133,15175,3231
134,15175,3235
135,15173,3236
136,15174,3236
137,15174,3236
138,15174,3236
139,15174,3236
140,15174,3236
141,15174,3236
142,15174,3236
143,15174,3236
144,15174,3236
145,15174,3236
146,15174,3236
147,15174,3236
148,15174,3236
149,15174,3236
150,15174,3236
151,15174,3236
152,15174,3236
153,15174,3236
154,15174,3236
155,15174,3236
156,15174,3236
157,15172,3244
158,15172,3253
159,15172,3254
160,15172,3254
161,15172,3254
162,15172,3254
163,15172,3254
164,15172,3254
165,15172,3254
166,15170,3282
167,15170,3282
168,15170,3282
169,15170,3282
170,15170,3282
171,15170,3282
172,15170,3282
173,15170,3282
174,15170,3282
175,15170,3282
176,15168,3290
177,15168,3290
178,15165,3292
179,15165,3292
180,15165,3292
181,15165,3292
182,15165,3292
183,15167,3294
184,15167,3294
185,15167,3294
186,15167,3294
187,15167,3294
188,15166,3296
189,15166,3296
190,15166,3296
191,15166,3296
192,15163,3299
193,15163,3299
194,15160,3305
195,15162,3306
196,15160,3347
197,15159,3352
198,15159,3352
199,15159,3352
200,15159,3352
201,15159,3352
202,15159,3352
203,15159,3352
204,15159,3352
205,15159,3352
206,15159,3352
207,15157,3354
208,15157,3354
209,15157,3357
210,15156,3360
211,15156,3360
212,15156,3377
213,15155,3379
214,15155,3379
215,15155,3379
216,15155,3379
217,15157,3388
218,15157,3388
219,15158,3389
220,15156,3400
221,15156,3400
222,15156,3400
223,15156,3400
224,15156,3400
225,15157,3409
226,15157,3409
227,15156,3446
228,15156,3446
229,15158,3458
230,15157,3466
231,15158,3471
232,15158,3471
233,15158,3471
234,15159,3531
235,15159,3531
236,15158,3532
237,15155,3559
238,15155,3559
239,15155,3559
240,15155,3559
241,15155,3559
242,15155,3560
243,15155,3560
244,15155,3560
245,15155,3560
246,15155,3564
247,15155,3580
248,15155,3580
249,15156,3665
250,15157,3679
251,15158,3681
252,15156,3690
253,15155,3695
254,15155,3695
255,15155,3695
256,15155,3695
257,15155,3695
258,15155,3695
259,15153,3702
260,15153,3703
261,15154,3713
262,15154,3713
263,15152,3734
264,15152,3738
265,15152,3738
266,15152,3738
267,15152,3738
268,15153,3745
269,15153,3745
270,15153,3745
271,15153,3745
272,15153,3749
273,15154,3753
274,15154,3753
275,15154,3753
276,15154,3753
277,15151,3769
278,15151,3769
279,15152,3780
280,15152,3794
281,15152,3794
282,15152,3794
283,15152,3794
284,15154,3796
285,15154,3796
286,15154,3796
287,15154,3796
288,15154,3796
289,15152,3798
290,15152,3798
291,15152,3798
292,15152,3798
293,15152,3798
294,15152,3798
295,15152,3798
296,15152,3798
297,15152,3798
298,15154,3808
299,15154,3808
300,15154,3808
301,15154,3812
302,15154,3814
303,15154,3815
304,15154,3816
305,15156,3822
306,15160,3831
307,15162,3842
308,15162,3842
309,15162,3842
310,15163,3845
311,15163,3846
312,15163,3846
313,15163,3846
314,15163,3846
315,15163,3846
316,15164,3847
317,15164,3847
318,15164,3847
319,15164,3847
320,15164,3847
321,15166,3849
322,15166,3849
323,15166,3849
324,15166,3849
325,15164,3852
326,15164,3852
327,15164,3852
328,15164,3855
329,15164,3855
330,15164,3855
331,15164,3857
332,15164,3857
333,15164,3857
334,15164,3857
335,15164,3857
336,15164,3857
337,15164,3857
338,15164,3857
339,15164,3857
340,15164,3860
341,15163,3894
342,15163,3894
343,15163,3894
344,15163,3894
345,15163,3894
346,15163,3900
347,15163,3900
348,15163,3900
349,15163,3900
350,15162,3902
351,15162,3902
352,15162,3903
353,15162,3903
354,15162,3907
355,15162,3907
356,15162,3907
357,15162,3907
358,15163,3908
359,15163,3908
360,15163,3908
361,15163,3908
362,15163,3908
363,15163,3908
364,15163,3908
365,15163,3908
366,15163,3908
367,15163,3908
368,15163,3908
369,15163,3908
370,15162,3929
371,15163,3931
372,15161,3932
373,15161,3951
374,15161,3951
375,15161,3956
376,15161,3956
377,15163,3963
378,15163,3964
379,15163,3964
380,15163,3964
381,15163,3964
382,15163,3964
383,15163,3964
384,15163,3964
385,15162,3975
386,15162,3975
387,15162,3975
388,15162,3975
389,15162,3975
390,15162,3975
391,15162,3975
392,15162,3975
393,15164,3978
394,15164,3978
395,15164,3978
396,15164,3978
397,15164,3978
398,15164,3978
399,15164,3978
400,15164,3978
401,15163,3979
402,15163,3979
403,15163,3979
404,15163,3980
405,15162,3981
406,15162,3981
407,15162,3981
408,15162,3981
409,15162,3981
410,15162,3981
411,15162,3981
412,15162,3981
413,15162,3981
414,15164,3985
415,15164,3985
416,15165,4003
417,15167,4015
418,15167,4015
419,15168,4016
420,15167,4026
421,15167,4026
422,15167,4026
423,15167,4026
424,15167,4026
425,15167,4026
426,15167,4026
427,15167,4026
428,15167,4026
429,15167,4026
430,15167,4026
431,15167,4026
432,15167,4026
433,15167,4026
434,15167,4026
435,15167,4026
436,15167,4026
437,15167,4026
438,15167,4026
439,15167,4026
440,15167,4026
441,15167,4026
442,15167,4026
443,15167,4026
444,15167,4026
445,15167,4026
446,15167,4026
447,15164,4047
448,15164,4047
449,15164,4047
450,15164,4047
451,15164,4047
452,15164,4047
453,15164,4047
454,15168,4052
455,15168,4052
456,15168,4052
457,15168,4052
458,15168,4052
459,15168,4052
460,15168,4052
461,15166,4057
462,15166,4057
463,15166,4057
464,15166,4057
465,15166,4057
466,15166,4057
467,15166,4057
468,15164,4070
469,15164,4086
470,15163,4091
471,15164,4121
472,15164,4121
473,15164,4121
474,15164,4121
475,15164,4121
476,15164,4121
477,15164,4121
478,15164,4121
479,15164,4121
480,15164,4121
481,15164,4121
482,15164,4121
483,15164,4121
484,15164,4121
485,15164,4121
486,15164,4121
487,15164,4121
488,15164,4131
489,15164,4131
490,15164,4131
491,15164,4131
492,15164,4131
493,15164,4131
494,15164,4131
495,15162,4146
496,15162,4152
497,15164,4154
498,15165,4157
499,15165,4157
500,15165,4157
501,15165,4157
502,15165,4157
503,15165,4157
504,15165,4207
505,15165,4207
506,15165,4207
507,15165,4207
508,15165,4207
509,15165,4207
510,15165,4207
511,15165,4207
512,15165,4207
513,15165,4207
514,15165,4207
515,15165,4207
516,15165,4207
517,15165,4207
518,15165,4207
519,15165,4207
